being verbose
Found 8792 vehicle images, 8968 non-vehicle images
color:YCrCb orien:8 pixel:32 cells:2 chans:ALL t_hog:34.19 t_trn:2.81 accur:0.9521
color:YCrCb orien:9 pixel:8 cells:2 chans:ALL t_hog:93.62 t_trn:21.26 accur:0.9516
color:YCrCb orien:9 pixel:16 cells:2 chans:ALL t_hog:46.89 t_trn:9.67 accur:0.9665
color:YCrCb orien:9 pixel:32 cells:2 chans:ALL t_hog:34.8 t_trn:3.28 accur:0.9485
color:YCrCb orien:10 pixel:8 cells:2 chans:ALL t_hog:94.4 t_trn:23.41 accur:0.9586
color:YCrCb orien:10 pixel:16 cells:2 chans:ALL t_hog:47.6 t_trn:8.29 accur:0.9704
color:YCrCb orien:10 pixel:32 cells:2 chans:ALL t_hog:35.66 t_trn:3.13 accur:0.9375
color:YCrCb orien:11 pixel:8 cells:2 chans:ALL t_hog:95.63 t_trn:25.68 accur:0.9485
color:YCrCb orien:11 pixel:16 cells:2 chans:ALL t_hog:48.35 t_trn:10.92 accur:0.9668
color:YCrCb orien:11 pixel:32 cells:2 chans:ALL t_hog:36.08 t_trn:3.52 accur:0.9243
color:YCrCb orien:12 pixel:8 cells:2 chans:ALL t_hog:96.99 t_trn:27.53 accur:0.951
color:YCrCb orien:12 pixel:16 cells:2 chans:ALL t_hog:49.0 t_trn:7.8 accur:0.9662
color:YCrCb orien:12 pixel:32 cells:2 chans:ALL t_hog:36.82 t_trn:3.44 accur:0.8789
